date,Bills & Utilities,Education,Entertainment,Food & Dining,Healthcare,Income,Others,Savings,Travel,total_daily_expense,daily_expense_capped,original_daily_expense
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,0.0,0.0,1320.0,0,1320.0
2019-01-02,0.0,0.0,0.0,7800.0,0.0,0.0,200000.0,0.0,790.0,208590.0,0,208590.0
2019-01-03,0.0,0.0,0.0,1090.0,0.0,0.0,300000.0,0.0,15620.0,316710.0,0,316710.0
2019-01-04,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,0.0,0.0,1350.0,0,1350.0
2019-01-06,0.0,0.0,0.0,7170.0,0.0,0.0,0.0,0.0,0.0,7170.0,0,7170.0
2019-01-07,0.0,0.0,0.0,0.0,0.0,0.0,13340.0,2510.0,11760.0,27610.0,0,27610.0
2019-01-08,0.0,0.0,0.0,0.0,1180.0,0.0,13390.0,0.0,0.0,14570.0,0,14570.0
2019-01-09,0.0,0.0,0.0,13800.0,0.0,0.0,970.0,0.0,0.0,14770.0,0,14770.0
2019-01-10,0.0,0.0,0.0,0.0,0.0,0.0,33230.0,9760.0,0.0,42990.0,0,42990.0
2019-01-11,0.0,0.0,0.0,0.0,0.0,200000.0,102340.0,0.0,20320.0,322660.0,0,322660.0
2019-01-12,0.0,0.0,0.0,0.0,0.0,0.0,64770.0,3310.0,0.0,68080.0,0,68080.0
2019-01-13,13870.0,0.0,0.0,0.0,0.0,0.0,2290.0,0.0,0.0,16160.0,0,16160.0
2019-01-14,0.0,0.0,17710.0,1910.0,0.0,0.0,100000.0,0.0,0.0,119620.0,0,119620.0
2019-01-15,3210.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,203210.0,0,203210.0
2019-01-16,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0,100000.0
2019-01-17,27100.0,0.0,0.0,1360.0,0.0,0.0,2670.0,0.0,15700.0,46830.0,0,46830.0
2019-01-19,1490.0,0.0,0.0,2440.0,0.0,0.0,100000.0,0.0,0.0,103930.0,0,103930.0
2019-01-20,37080.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,137080.0,0,137080.0
2019-01-21,0.0,0.0,0.0,9960.0,0.0,0.0,0.0,0.0,0.0,9960.0,0,9960.0
2019-01-22,0.0,0.0,0.0,46210.0,0.0,0.0,8330.0,0.0,21580.0,76120.0,0,76120.0
2019-01-23,0.0,0.0,0.0,810.0,0.0,100000.0,4490.0,9710.0,0.0,115010.0,0,115010.0
2019-01-24,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,1500.0,0,1500.0
2019-01-26,0.0,0.0,9660.0,3300.0,0.0,0.0,0.0,0.0,0.0,12960.0,0,12960.0
2019-01-27,14500.0,0.0,0.0,0.0,0.0,100000.0,15080.0,2840.0,0.0,132420.0,0,132420.0
2019-01-28,0.0,0.0,0.0,0.0,0.0,0.0,218720.0,0.0,13800.0,232520.0,0,232520.0
2019-01-29,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,1810.0,101810.0,0,101810.0
2019-01-30,9260.0,0.0,0.0,30850.0,0.0,100000.0,2010.0,7690.0,0.0,149810.0,0,149810.0
2019-01-31,0.0,0.0,3190.0,5690.0,0.0,100000.0,4040.0,0.0,0.0,112920.0,0,112920.0
2019-02-01,0.0,0.0,710.0,0.0,0.0,0.0,0.0,0.0,0.0,710.0,0,710.0
2019-02-02,15620.0,0.0,0.0,0.0,0.0,0.0,9910.0,0.0,0.0,25530.0,0,25530.0
2019-02-03,0.0,0.0,0.0,13420.0,0.0,100000.0,6650.0,0.0,0.0,120070.0,0,120070.0
2019-02-04,0.0,0.0,0.0,9880.0,0.0,100000.0,100000.0,0.0,0.0,209880.0,0,209880.0
2019-02-05,5570.0,0.0,0.0,12700.0,0.0,0.0,123980.0,0.0,0.0,142250.0,0,142250.0
2019-02-06,0.0,0.0,3530.0,8590.0,0.0,0.0,2860.0,15830.0,0.0,30810.0,0,30810.0
2019-02-07,5500.0,0.0,1590.0,0.0,0.0,0.0,2340.0,2290.0,3400.0,15120.0,0,15120.0
2019-02-08,0.0,0.0,0.0,0.0,0.0,0.0,670.0,0.0,0.0,670.0,0,670.0
2019-02-09,0.0,0.0,0.0,12000.0,0.0,0.0,166270.0,0.0,0.0,178270.0,0,178270.0
