feature,importance
Bills & Utilities,0.99931276
Others,0.00012908615
expense_rolling_mean_3,7.105373e-05
expense_trend_30,5.457012e-05
expense_rolling_mean_14_lag_7,5.0575447e-05
expense_rolling_mean_3_rolling_mean_30,4.7553636e-05
expense_rolling_mean_14,4.6442616e-05
expense_lag_7_rolling_mean_30,4.2744497e-05
expense_rolling_min_3,3.4387816e-05
expense_rolling_max_3_rolling_mean_7,3.246067e-05
expense_rolling_max_3,2.864599e-05
expense_rolling_mean_7_rolling_mean_30,2.3260704e-05
expense_trend_7,2.279305e-05
expense_rolling_mean_30,2.1976475e-05
expense_rolling_max_7,1.8228184e-05
expense_rolling_mean_7,7.993553e-06
expense_rolling_std_90,7.014381e-06
Travel_rolling_mean_30,6.9879106e-06
Income,5.527108e-06
Entertainment_rolling_mean_30,3.6486767e-06
expense_rolling_max_30,3.104866e-06
Entertainment,2.696856e-06
expense_rolling_std_30,2.4993462e-06
Travel,1.7710623e-06
expense_rolling_std_30_lag_1,1.7172033e-06
Food & Dining,1.6282011e-06
expense_rolling_std_14,1.5215376e-06
expense_rolling_std_7_rolling_mean_30,1.3781063e-06
expense_rolling_std_30_rolling_mean_7,1.285052e-06
Education_rolling_mean_7,9.2353594e-07
Education,8.772171e-07
expense_rolling_min_3_rolling_mean_30,8.511725e-07
expense_rolling_min_3_lag_1,7.978747e-07
expense_lag_3_rolling_mean_7,7.924771e-07
Bills & Utilities_rolling_mean_7,7.4746094e-07
Entertainment_lag_1,7.162002e-07
expense_rolling_min_3_rolling_mean_7,7.124538e-07
expense_rolling_max_14_rolling_mean_30,6.801927e-07
Savings,5.9216836e-07
expense_lag_3_rolling_mean_30,5.3146033e-07
Healthcare,5.1061573e-07
Food & Dining_rolling_mean_30,5.046086e-07
Others_rolling_mean_7,4.6079137e-07
expense_lag_2,4.4992112e-07
expense_rolling_mean_3_lag_1,3.8422255e-07
Food & Dining_lag_1,3.4410496e-07
expense_lag_1,3.3875543e-07
expense_rolling_mean_3_rolling_mean_7,3.054579e-07
expense_lag_3,2.6885832e-07
Healthcare_rolling_mean_7,2.393122e-07
Savings_rolling_mean_30,2.3416627e-07
weekday_cos_rolling_mean_30,2.2909909e-07
expense_rolling_max_3_lag_1,2.2490073e-07
expense_rolling_std_3,2.1598409e-07
expense_lag_14_lag_7,2.1375917e-07
expense_rolling_std_3_lag_1,2.07189e-07
expense_rolling_std_7_lag_7,1.9071545e-07
