date,amount,merchant,category,description
2024-01-01,25.50,Restaurant A,Food,Lunch meal
2024-01-01,45.00,Gas Station,Transportation,Fuel
2024-01-02,15.75,Coffee Shop,Food,Morning coffee
2024-01-02,89.99,Supermarket,Food,Groceries
2024-01-03,12.00,Bus Company,Transportation,Public transport
2024-01-03,35.20,Restaurant B,Food,Dinner
2024-01-04,150.00,Electric Company,Utilities,Monthly bill
2024-01-04,28.45,Pharmacy,Healthcare,Medication
2024-01-05,67.89,Online Store,Shopping,Clothing
2024-01-05,22.30,Restaurant C,Food,Breakfast
2024-01-06,8.50,Parking Meter,Transportation,Parking fee
2024-01-06,45.60,Grocery Store,Food,Weekly shopping
2024-01-07,120.00,Cinema,Entertainment,Movie tickets
2024-01-07,18.75,Food Truck,Food,Lunch
2024-01-08,55.25,Gas Station,Transportation,Fuel
2024-01-08,34.90,Restaurant D,Food,Dinner
2024-01-09,200.00,Dentist,Healthcare,Dental checkup
2024-01-09,15.40,Coffee Shop,Food,Afternoon coffee
2024-01-10,78.30,Department Store,Shopping,Home supplies
2024-01-10,29.85,Fast Food,Food,Quick meal
2024-01-11,65.50,Supermarket,Food,Groceries
2024-01-11,12.00,Bus Company,Transportation,Public transport
2024-01-12,89.99,Online Store,Shopping,Electronics
2024-01-12,26.75,Restaurant E,Food,Lunch
2024-01-13,42.30,Gas Station,Transportation,Fuel
2024-01-13,58.90,Grocery Store,Food,Weekend shopping
2024-01-14,95.00,Gym,Healthcare,Monthly membership
2024-01-14,31.20,Restaurant F,Food,Dinner
2024-01-15,18.50,Coffee Shop,Food,Morning coffee
2024-01-15,145.75,Utility Company,Utilities,Water bill
